   59.7376976   # Box length L  
   10648        # Number of sites 
   0.00000000       21.7227993       0.00000000    
   0.00000000       24.4381485       2.71534991    
   2.71534991       24.4381485       0.00000000    
   2.71534991       21.7227993       2.71534991    
   1.35767496       23.0804749       1.35767496    
   1.35767496       25.7958241       4.07302475    
   4.07302475       25.7958241       1.35767496    
   4.07302475       23.0804749       4.07302475    
   0.00000000       21.7227993       5.43069983    
   0.00000000       24.4381485       8.14604950    
   2.71534991       24.4381485       5.43069983    
   2.71534991       21.7227993       8.14604950    
   1.35767496       23.0804749       6.78837490    
   1.35767496       25.7958241       9.50372505    
   4.07302475       25.7958241       6.78837490    
   4.07302475       23.0804749       9.50372505    
   0.00000000       21.7227993       10.8613997    
   0.00000000       24.4381485       13.5767498    
   2.71534991       24.4381485       10.8613997    
   2.71534991       21.7227993       13.5767498    
   1.35767496       23.0804749       12.2190742    
   1.35767496       25.7958241       14.9344244    
   4.07302475       25.7958241       12.2190742    
   4.07302475       23.0804749       14.9344244    
   0.00000000       21.7227993       16.2920990    
   0.00000000       24.4381485       19.0074501    
   2.71534991       24.4381485       16.2920990    
   2.71534991       21.7227993       19.0074501    
   1.35767496       23.0804749       17.6497746    
   1.35767496       25.7958241       20.3651237    
   4.07302475       25.7958241       17.6497746    
   4.07302475       23.0804749       20.3651237    
   0.00000000       21.7227993       21.7227993    
   0.00000000       24.4381485       24.4381485    
   2.71534991       24.4381485       21.7227993    
   2.71534991       21.7227993       24.4381485    
   1.35767496       23.0804749       23.0804749    
   1.35767496       25.7958241       25.7958241    
   4.07302475       25.7958241       23.0804749    
   4.07302475       23.0804749       25.7958241    
   0.00000000       21.7227993       27.1534996    
   0.00000000       24.4381485       29.8688488    
   2.71534991       24.4381485       27.1534996    
   2.71534991       21.7227993       29.8688488    
   1.35767496       23.0804749       28.5111732    
   1.35767496       25.7958241       31.2265244    
   4.07302475       25.7958241       28.5111732    
   4.07302475       23.0804749       31.2265244    
   0.00000000       21.7227993       32.5841980    
   0.00000000       24.4381485       35.2995491    
   2.71534991       24.4381485       32.5841980    
   2.71534991       21.7227993       35.2995491    
   1.35767496       23.0804749       33.9418755    
   1.35767496       25.7958241       36.6572227    
   4.07302475       25.7958241       33.9418755    
   4.07302475       23.0804749       36.6572227    
   0.00000000       21.7227993       38.0149002    
   0.00000000       24.4381485       40.7302475    
   2.71534991       24.4381485       38.0149002    
   2.71534991       21.7227993       40.7302475    
   1.35767496       23.0804749       39.3725739    
   1.35767496       25.7958241       42.0879250    
   4.07302475       25.7958241       39.3725739    
   4.07302475       23.0804749       42.0879250    
   0.00000000       21.7227993       43.4455986    
   0.00000000       24.4381485       46.1609497    
   2.71534991       24.4381485       43.4455986    
   2.71534991       21.7227993       46.1609497    
   1.35767496       23.0804749       44.8032722    
   1.35767496       25.7958241       47.5186234    
   4.07302475       25.7958241       44.8032722    
   4.07302475       23.0804749       47.5186234    
